演出,えんしゅつ<br><br>production (e.g. play); direction,N3 N5
出演,しゅつえん<br><br>(1) performance; stage appearance <br>(2) to act (in a play),N3 N5
出席,しゅっせき<br><br>(1) attendance; presence; appearance <br>(2) to attend; to be present; to appear,N3 N5
支出,ししゅつ<br><br>expenditure; expenses,N3 N5
出現,しゅつげん<br><br>appearance; arrival; make one's appearance,N3 N5
出勤,しゅっきん<br><br>attendance (at work); being at work; presence (in the office); going to work,N3 N5
飛び出す,とびだす<br><br>(1) to jump out; to rush out; to fly out <br>(2) to appear (suddenly) <br>(3) to protrude; to project <br>(4) to butt in,N3 N5
出迎え,でむかえ<br><br>meeting; reception,N3 N5
抜け出す,ぬけだす<br><br>(1) to slip out; to sneak away; to excel <br>(2) to break (out of a loop),N3 N5
追い出す,おいだす<br><br>to expel; to drive out,N3 N5
呼び出す,よびだす<br><br>(1) to summon; to call (e.g. phone); to convene; to decoy; to lure <br>(2) to invoke (e.g. subroutine); to call,N3 N5
申し出,もうしで<br><br>proposal; request; claim; report; notice,N3 N5
出直し,でなおし<br><br>adjustment; touch up,N3 N5
出費,しゅっぴ<br><br>expenses; disbursements,N3 N5
放出,ほうしゅつ<br><br>elease; emission; ejection,N3 N5
出迎える,でむかえる<br><br>to meet; to greet,N3 N5
出掛ける,でかける<br><br>to depart; to go out (e.g. on an excursion or outing); to set out; to start; to be going out,N3 N5
逃げ出す,にげだす<br><br>to run away; to escape from,N3 N5
投げ出す,なげだす<br><br>(1) to throw down; to throw out; to stretch out (one's legs) <br>(2) to abandon; to resign <br>(3) to give freely; to give generously; to sacrifice (e.g. one's life) <br>(4) to start to throw,N3 N5
差し出す,さしだす<br><br>to present; to submit; to tender; to hold out,N3 N5
申し出る,もうしでる<br><br>to report to; to tell; to suggest; to submit; to request; to make an offer; to come forward with information,N3 N5
取り出す,とりだす<br><br>(1) to take out; to produce; to pick out <br>(2) to fetch; to retrieve,N3 N5
降り出す,ふりだす<br><br>to begin to rain,N3 N5
お出掛け,おでかけ<br><br>about to start out; just about to leave or go out,N3 N5
放り出す,ほうりだす<br><br>to throw out; to fire; to expel; to give up; to abandon; to neglect,N3 N5
成立,せいりつ<br><br>(1) coming into existence; arrangements; establishment; conclusion; completion <br>(2) to come into existence; to be true; to hold (i.e. hold true),N3 N5
対立,たいりつ<br><br>confrontation; opposition; antagonism,N3 N5
確立,かくりつ<br><br>(1) establishment; settlement <br>(2) to establish; to settle,N3 N5
立法,りっぽう<br><br>legislation; lawmaking,N3 N5
成り立つ,"なりたつ<br><br>(1) to consist of; to be made up of; to be composed of <br>(2) to be practical (logical, feasible, viable); to be concluded; to hold true",N3 N5
両立,りょうりつ<br><br>compatibility; coexistence; standing together,N3 N5
役に立つ,やくにたつ<br><br>to be helpful; to be useful,N3 N5
立ち寄る,たちよる<br><br>to stop by; to drop in for a short visit,N3 N5
役立つ,やくだつ<br><br>to be useful; to be helpful; to serve the purpose,N3 N5
組み立てる,くみたてる<br><br>to assemble; to set up; to construct,N3 N5
取り立てる,とりたてる<br><br>(1) to collect (debts); to dun; to exact; to extort <br>(2) to appoint; to promote; to give patronage <br>(3) to emphasize; to focus on; to call attention to,N3 N5
腹立ち,はらだち<br><br>anger,N3 N5
連休,れんきゅう<br><br>consecutive holidays,N3 N5
休息,きゅうそく<br><br>est; relief; relaxation,N3 N5
休戦,きゅうせん<br><br>truce; armistice,N3 N5
優先,ゆうせん<br><br>preference; priority; precedence,N3 N5
先祖,せんぞ<br><br>ancestor,N3 N5
祖先,そせん<br><br>ancestor,N3 N5
勤め先,つとめさき<br><br>place of work,N3 N5
夕暮れ,ゆうぐれ<br><br>evening; (evening) twilight,N3 N4
本部,ほんぶ<br><br>headquarters; head office; main office,N3 N5
本当,ほんとう<br><br>truth; reality,N3 N5
資本,しほん<br><br>funds; capital,N3 N5
本能,ほんのう<br><br>instinct,N3 N5
本格,ほんかく<br><br>(1) original method or procedure <br>(2) serious; orthodox; classical; genuine,N3 N5
